Rank(ACPA–)	Rho	RA_phenotype
1	0.5657536360629255	2
1	0.19877999445196012	1
2	0.4493559749390228	2
2	0.43766269708696104	1
3	0.4352859279899796	2
3	-0.16722944882092225	1
4	0.424954774635787	2
4	-0.3476338507624977	1
5	0.41974000199033756	2
5	-0.23726472593597334	1
6	0.40990080831967796	2
6	0.3961731517333252	1
7	0.4066538744083602	2
7	0.14550233314826616	1
8	0.3969130726744073	2
8	0.04276081276001468	1
9	0.39661789686428744	2
9	0.02380737142854871	1
10	0.39228865164919724	2
10	-0.01687318557557336	1
11	0.38884493386446645	2
11	-0.025772057420225064	1
12	0.3842205128392564	2
12	0.02831459223298269	1
13	0.37864222575543005	2
13	0.06796878161471291	1
14	0.3750384580918035	2
14	0.09409283713329306	1
15	0.3689697626497341	2
15	0.2105681104020182	1
16	0.3607048399663801	2
16	0.18619231307873746	1
17	0.35962252866260747	2
17	0.04114283606098709	1
18	0.35735951411835576	2
18	-0.24477676061002995	1
19	0.35145599791596005	2
19	-0.01906901109568222	1
20	0.34948815918182813	2
20	-0.1089822876559293	1
21	0.3482090640046423	2
21	-0.19704644798871626	1
22	0.347323536574283	2
22	0.19739315728136506	1
23	0.3405344929415279	2
23	0.11718774091528346	1
24	0.3403377090681147	2
24	0.15601918169194542	1
25	0.3401409251947015	2
25	0.14284422857129228	1
26	0.3367180504873874	2
26	0.12314581600583165	1
27	0.33285992187841346	2
27	-0.2111459592230995	1
28	0.3301554335946306	2
28	0.02808345270455018	1
29	0.32941620409368255	2
29	-0.14665803079042872	1
30	0.32715318954943085	2
30	-0.001849116227460094	1
31	0.32489017500517914	2
31	0.019739639755679543	1
32	0.3244966072583528	2
32	0.4799612307901107	1
33	0.3222335927141011	2
33	-0.04044941747568956	1
34	0.3218551217154111	2
34	0.16861628599151732	1
35	0.32016736204326257	2
35	-0.31423418890399973	1
36	0.31839630718254386	2
36	0.2838393409151244	1
37	0.31688149421137496	2
37	-0.1490849958389701	1
38	0.3126895748535613	2
38	-0.09777202052695248	1
39	0.305703747347393	2
39	0.29759214285685887	1
40	0.3056806002138975	2
40	-0.11108503253697129	1
41	0.30098093438547635	2
41	0.2566804463243043	1
42	0.2967500811070928	2
42	-0.06552805631061709	1
43	0.2943886746261345	2
43	0.3627734898748272	1
44	0.2931095794489488	2
44	0.09673189264900617	1
45	0.29271601170212236	2
45	-0.14018612399431837	1
46	0.2924208358920026	2
46	0.17127439056849122	1
47	0.28868194229715194	2
47	-0.21415077309272215	1
48	0.2874028471199662	2
48	-0.27413148072095894	1
49	0.28632053581619366	2
49	0.12042369431333863	1
50	0.28622056523501954	2
50	0.03282845914724229	1
