Rank(ACPA–)	Rho	RA_phenotype
1	0.6370472530910556	2
1	0.07725200891946085	1
2	0.5858267988711768	2
2	0.2236515607330467	1
3	0.5826332585213901	2
3	0.2981081886345186	1
4	0.5609359696743095	2
4	0.2436506297658506	1
5	0.5553942378908561	2
5	-0.08126763465220561	1
6	0.5374540553376421	2
6	0.3038926424047082	1
7	0.5348240809319355	2
7	-0.14318582288744594	1
8	0.5322880341835753	2
8	0.2838365525172125	1
9	0.5201304468036392	2
9	0.2438589293068175	1
10	0.5040164527235471	2
10	0.2958547724054703	1
11	0.5022311838326411	2
11	0.25012920142436457	1
12	0.5013858349165211	2
12	0.2886250620039402	1
13	0.5005404860004011	2
13	0.49115084558965877	1
14	0.48532420551024064	2
14	0.48824018296047145	1
15	0.483821362992694	2
15	0.5648563347481147	1
16	0.482694231104534	2
16	0.0	1
17	0.4810974609296407	2
17	0.4193232032887434	1
18	0.4730879774762798	2
18	0.43602396127474036	1
19	0.4717046951949737	2
19	0.5860760042383197	1
20	0.46963828673334695	2
20	0.04675838675275284	1
21	0.46822329923097095	2
21	0.24562236896626796	1
22	0.4681354442158002	2
22	0.0560537286975772	1
23	0.4629694230617334	2
23	0.3877753760820668	1
24	0.46033944865602666	2
24	0.5135911155372651	1
25	0.45705198064889324	2
25	0.444486351179783	1
26	0.4553870738068488	2
26	0.1678643708286914	1
27	0.4540408638383121	2
27	0.42620177670286497	1
28	0.4533953743256281	2
28	0.21718098788804394	1
29	0.4483068988623983	2
29	0.31613551846690524	1
30	0.44803492554361296	2
30	-0.007135818058653044	1
31	0.44683482497112226	2
31	0.36600952036313983	1
32	0.4454988787952529	2
32	-0.05088964983934145	1
33	0.44542584402208585	2
33	0.3889020841965909	1
34	0.44521709582321284	2
34	-0.12947754082740195	1
35	0.44462742148429846	2
35	0.03020055692301303	1
36	0.44099035124261277	2
36	0.26383748348440855	1
37	0.44070856827057275	2
37	-0.01107929645948762	1
38	0.4388300151236394	2
38	0.3378246496714954	1
39	0.4355425471165059	2
39	-0.007417495087284085	1
40	0.43300650036814586	2
40	0.16064979866257048	1
41	0.43018867064774574	2
41	0.2742595335437571	1
42	0.42840404515815905	2
42	0.18515570015347108	1
43	0.428122262186119	2
43	0.33557123344244705	1
44	0.42502264949367896	2
44	0.4015775504849878	1
45	0.4241773005775589	2
45	0.10299990013608407	1
46	0.4225805304026656	2
46	0.22590497696209508	1
47	0.42070197725573216	2
47	0.16412381534902	1
48	0.4200444836543054	2
48	0.05088964983934145	1
49	0.4155359561016653	2
49	0.3174500112671835	1
50	0.4154420284443187	2
50	0.2613023902267292	1
