Rank(ACPA–)	Rho	RA_phenotype
1	0.5737451737451738	2
1	0.05002667307703297	1
2	0.5629343629343629	2
2	-0.0022523857546531433	1
3	0.5616473616473616	2
3	0.1004149377593361	1
4	0.5588159588159588	2
4	-0.09756386716208089	1
5	0.5557057450569431	2
5	0.08299247154306187	1
6	0.5430207875328422	2
6	-0.22061525733734208	1
7	0.5315657389216968	2
7	0.1321951511007343	1
8	0.5138370489213159	2
8	-0.08109069353882632	1
9	0.4957528957528957	2
9	0.05459719020797142	1
10	0.4880622958816159	2
10	0.13490605204185668	1
11	0.4688847425887993	2
11	-0.023946416970522893	1
12	0.4588454865026268	2
12	0.1106171084995382	1
13	0.4538313883544334	2
13	-0.24280888341291873	1
14	0.4517374517374517	2
14	0.08186129223473622	1
15	0.4506081481755109	2
15	-0.1004149377593361	1
16	0.44842010518237074	2
16	0.3399917023339587	1
17	0.44159855938022796	2
17	0.15230924530948378	1
18	0.4375925556551118	2
18	0.33141543572578724	1
19	0.43680823680823677	2
19	-0.07112797119957295	1
20	0.43567797245761336	2
20	-0.27125074096028456	1
21	0.43223066389723913	2
21	0.057258016815656225	1
22	0.4289866307619718	2
22	0.11332881270595994	1
23	0.4272107127679979	2
23	0.1033787788974511	1
24	0.42625482625482625	2
24	0.17888684756692594	1
25	0.42422292384646787	2
25	0.15683717649505835	1
26	0.4202329630942711	2
26	0.29308198522064133	1
27	0.41894587898065927	2
27	-0.21292234736218138	1
28	0.40746460746460744	2
28	0.14237448901781186	1
29	0.4054054054054054	2
29	0.14901309966310533	1
30	0.40260077678080886	2
30	-0.09326455853420512	1
31	0.4023424939150663	2
31	0.26010669828097216	1
32	0.3980176427417345	2
32	-0.237219810828246	1
33	0.3971685971685972	2
33	-0.03135743924125667	1
34	0.3955209481129235	2
34	0.03592175459395377	1
35	0.3954940661878503	2
35	0.1410955665597212	1
36	0.3925606546516162	2
36	0.22590397154712508	1
37	0.39088744530392083	2
37	0.2039134391423989	1
38	0.38949672095087723	2
38	0.1918197984588026	1
39	0.3881595881595881	2
39	-0.015648153663906046	1
40	0.387965729230888	2
40	0.1018991815718849	1
41	0.3855855855855856	2
41	0.03983166387176085	1
42	0.3840906197347712	2
42	0.05098411228628581	1
43	0.38120978120978116	2
43	-0.03319895683758146	1
44	0.3804375804375804	2
44	0.25010374102869865	1
45	0.3803333555723036	2
45	0.03461561265045884	1
46	0.3794079794079794	2
46	-0.2919976289270895	1
47	0.3776061776061776	2
47	-0.06354098760495183	1
48	0.37467018547241143	2
48	0.07527710285288136	1
49	0.37160510025947874	2
49	-0.11475312686864435	1
50	0.3701415701415701	2
50	0.18208760627090675	1
