Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.6529980553376601	4.945028618283837e-06	2	FABP3_5437-63
1	0.3086234522209461	0.052671561999144995	1	FABP3_5437-63
2	0.650839849378073	5.443039967350846e-06	2	LEP_2575-5
2	0.5281036148067755	0.00046107610287327006	1	LEP_2575-5
3	0.6440837263741485	7.3148620729357305e-06	2	LEP_8484-24
3	0.46420195139465503	0.0025504480308625142	1	LEP_8484-24
4	0.6083325754783806	3.12403227743525e-05	2	FABP4_15386-7
4	0.24312659309956564	0.13061176479862366	1	FABP4_15386-7
5	0.5787745373362103	9.142778071051458e-05	2	CCL25_2705-5
5	0.268018022738709	0.09450617933998366	1	CCL25_2705-5
6	0.5528760658211659	0.0002159266682625752	2	DCUN1D1_17366-6
6	0.26902506461461007	0.09322676075367438	1	DCUN1D1_17366-6
7	0.5345782326855366	0.0003802818592751031	2	INHBC_6408-2
7	0.21178568916469304	0.18954849032791482	1	INHBC_6408-2
8	0.523599532804159	0.0005260111572872676	2	OLFML3_8660-33
8	0.291451639585971	0.06804748208245641	1	OLFML3_8660-33
9	0.5064514754859487	0.0008545760714174885	2	SIGLEC12_8352-26
9	0.4125926784480085	0.008151215189418965	1	SIGLEC12_8352-26
10	0.49460450491231595	0.0011777527532643335	2	CCNA1_15319-226
10	0.36220326104373735	0.021633791523828393	1	CCNA1_15319-226
11	0.48587784603224665	0.001480892859765356	2	VSTM1_20570-18
11	0.11935817306933519	0.4632056710798178	1	VSTM1_20570-18
12	0.48127992898790894	0.0016668308199609535	2	TMEM190_10442-1
12	-0.15623534446575715	0.33569054512356	1	TMEM190_10442-1
13	0.4794970631952067	0.0017442945973962065	2	PPP1R1A_17706-4
13	0.3961715461468028	0.011385042036491074	1	PPP1R1A_17706-4
14	0.4670170026462903	0.0023812859755373917	2	DPT_4979-34
14	0.13371493445267504	0.4107501844128719	1	DPT_4979-34
15	0.4611992300595774	0.0027424228028870017	2	FAM3B_5618-50
15	0.2368396453042469	0.14117377278832186	1	FAM3B_5618-50
16	0.4605423847675292	0.002786066834357171	2	FABP4_9851-9
16	0.17809890918679103	0.27155113943489895	1	FABP4_9851-9
17	0.4482499943020552	0.003722908114015838	2	LMAN2_7638-30
17	0.3287041511492777	0.03836604101577873	1	LMAN2_7638-30
18	0.44243222171534236	0.004254856572934955	2	ANGPT2_2602-2
18	-0.06033593182671582	0.7115056399615933	1	ANGPT2_2602-2
