Rank(ACPA–)	Rho	RA_phenotype
1	0.5916299380520114	2
1	0.36605049775430554	1
2	0.5829971142136632	2
2	0.08942479476028022	1
3	0.5009387996672316	2
3	0.007232085718219417	1
4	0.48090458882102427	2
4	0.05733321049163822	1
5	0.46157457022646214	2
5	0.022895750179966815	1
6	0.4421507165901788	2
6	0.5087735962122134	1
7	0.4361452739200236	2
7	0.11025617402238119	1
8	0.4354884286279754	2
8	0.27822089870328526	1
9	0.43156202721536724	2
9	0.24636321084569873	1
10	0.4312658517505224	2
10	-0.04363329440034659	1
11	0.42638642958102135	2
11	0.045134655067885394	1
12	0.4244273450703812	2
12	0.21445330925044634	1
13	0.42385288345454963	2
13	0.2832074398770786	1
14	0.4217885125366837	2
14	0.29079479429392274	1
15	0.4167878874135337	2
15	0.4008632982328616	1
16	0.4153138946579226	2
16	0.09815145364034954	1
17	0.4116543280307968	2
17	0.08355663570589561	1
18	0.4109036476970274	2
18	-0.08126114613053796	1
19	0.4012386383997463	2
19	0.3256075947724789	1
20	0.3972037316057358	2
20	0.11081918427270823	1
21	0.3971098965640146	2
21	0.16655719905508645	1
22	0.3952331957295911	2
22	0.2325232333850728	1
23	0.3856620214740312	2
23	0.0821994965477497	1
24	0.38547435139058883	2
24	-0.0772262393365274	1
25	0.3850450687472171	2
25	-0.14429215425197434	1
26	0.3821504831694253	2
26	-0.14366289952357866	1
27	0.3818343841979084	2
27	0.016674629735236847	1
28	0.38115793947141474	2
28	0.007225298212530511	1
29	0.378624393344943	2
29	0.1449751394592161	1
30	0.37534016688470184	2
30	-0.20052548415815197	1
31	0.3751700943103247	2
31	0.025429296306438552	1
32	0.37393264125888426	2
32	0.0845453725907791	1
33	0.3692408891728255	2
33	0.31265835901495664	1
34	0.3649244772536514	2
34	0.09139533063642491	1
35	0.35966971491726557	2
35	0.12836633707456802	1
36	0.357230003832515	2
36	0.09496106222182958	1
37	0.3558749712510827	2
37	0.19559207975699522	1
38	0.3556348081232551	2
38	0.16852773493123116	1
39	0.35501126950532147	2
39	0.10998242859765203	1
40	0.3464389740345798	2
40	0.04748053111091479	1
41	0.3435710332109952	2
41	0.37398408714708503	1
42	0.3418209473636602	2
42	-0.1298018501633667	1
43	0.34033969632270344	2
43	0.18663789798341804	1
44	0.33841470972262994	2
44	0.1553489581549989	1
45	0.3378061501962317	2
45	0.33086235710886475	1
46	0.3362109544869717	2
46	0.03152857401831496	1
47	0.3353664391114811	2
47	-0.07816458975373916	1
48	0.3346157587777117	2
48	0.05339213873934884	1
49	0.3323637177764035	2
49	-0.1840105168152251	1
50	0.33226988273468233	2
50	0.11719996710974816	1
51	0.3316130374426341	2
51	0.2821619704555746	1
52	0.3300178417333741	2
52	0.23092803767581285	1
53	0.3264521101479695	2
53	0.21413156520772242	1
54	0.3252322546055942	2
54	0.3489725201610515	1
55	0.32110351276986243	2
55	0.20549874136937427	1
56	0.3207432171967709	2
56	0.11354040048262233	1
57	0.320225247773533	2
57	-0.15001877846106373	1
58	0.3173649972379986	2
58	-0.11307652917557312	1
59	0.3165055957255249	2
59	0.04766820119435714	1
60	0.31491040001626486	2
60	0.14647650012675492	1
61	0.31415971968249545	2
61	0.01717261812375924	1
62	0.3084357821375038	2
62	-0.06258797282802404	1
63	0.3067467513865226	2
63	0.11250821502368938	1
64	0.305339225760705	2
64	-0.13455944982816562	1
65	0.3009072769543586	2
65	-0.04532327679329531	1
66	0.2949373702894824	2
66	0.29041945412703807	1
67	0.2928591652117887	2
67	-0.037346346605027836	1
68	0.29154547462769215	2
68	0.05396527475667686	1
