Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.5777308282062386	0.0016006701919049657	2	DUSP18
1	0.2507195790983401	0.1895722282456381	1	DUSP18
2	0.5126458785354808	0.006254193094587946	2	PDGFRB_ext
2	0.43019424009829577	0.019839997916137272	1	PDGFRB_ext
3	0.49980394229134306	0.007941105105435234	2	MPP1
3	0.09774502519360687	0.6139591915353783	1	MPP1
4	0.49211758802199906	0.009122518020096112	2	NME8
4	0.15259034254871762	0.4293976999245467	1	NME8
5	0.4724582513870996	0.01282932716928013	2	GALK1
5	-0.01959862180277904	0.9196228782246191	1	GALK1
6	0.45522700228862306	0.017033494701268415	2	ZNF70
6	0.16474794707698945	0.3930898935613798	1	ZNF70
7	0.4507169147095076	0.018303685016141553	2	ICL_2
7	-0.2179953361699838	0.2559435992639924	1	ICL_2
8	0.44138381606096827	0.021179774795557126	2	AK1
8	0.08362484722741553	0.6662637390148841	1	AK1
9	0.4347913736557305	0.02342585059049183	2	DRD2
9	0.3128336973835997	0.09846763726269216	1	DRD2
10	0.4299687173697363	0.025188773053017744	2	CKM
10	0.1548043038599256	0.42265256517559835	1	CKM
11	0.4299687173697363	0.025188773053017744	2	PPP4C
11	0.16177057453945348	0.40181510947516463	1	PPP4C
12	0.4293345452202234	0.0254284002643658	2	SCP2
12	0.1523234656570422	0.4302147405057387	1	SCP2
13	0.4162711414882764	0.030790387497587904	2	NXF2B
13	0.38408105734213804	0.039684921128303664	1	NXF2B
14	0.4153827579309399	0.031185767407667115	2	AIF1
14	0.211615498705956	0.2704634979206607	1	AIF1
15	0.4132893313627646	0.03213363157845832	2	CDK5R1
15	0.11205125075582552	0.562792091511992	1	CDK5R1
16	0.41284606933288837	0.03233727266183401	2	ITPKB
16	0.09899763687307046	0.6094027187369288	1	ITPKB
17	0.40967520858532397	0.03382444193182135	2	TFCP2L1
17	-0.0042179444281759335	0.9826751183485624	1	TFCP2L1
18	0.4052360035387338	0.035998114607925506	2	SIVA1
18	-0.20243639735528732	0.29227058993751703	1	SIVA1
19	0.4046018313892209	0.03631755602341047	2	CUL5
19	0.0404376627069998	0.8350184905543824	1	CUL5
20	0.403967659239708	0.036639259613701916	2	CALML4
20	0.21087124724509096	0.2721913309428675	1	CALML4
21	0.4007967984921436	0.03828209707103839	2	GAGE1
21	0.15184599941433363	0.4316786195615695	1	GAGE1
22	0.3976259377445791	0.03998315125425367	2	RHOT2
22	0.22972561758700497	0.23060279500991085	1	RHOT2
23	0.39705237039896035	0.040297175681624935	2	AK7
23	0.128275133492174	0.5072376074363618	1	AK7
24	0.393684118355527	0.04218107027299608	2	PFKFB3
24	0.34881560832512176	0.0636624985070488	1	PFKFB3
25	0.3931867326979889	0.04246508876342799	2	NME5
25	-0.0855889179994781	0.6588888197993383	1	NME5
26	0.38965978711022964	0.04452283658723586	2	CT83
26	-0.08088528726972674	0.6766014606296382	1	CT83
27	0.3865649985400122	0.04639274083530225	2	ICL_3
27	-0.16675340456030632	0.3872744390545786	1	ICL_3
28	0.3716248796145508	0.05630833551674653	2	GAGE2
28	0.165968075772901	0.3895458263188353	1	GAGE2
29	0.3703565353155251	0.0572208932481982	2	TWF2
29	-0.15197005660339763	0.43129800708986565	1	TWF2
30	0.36972236316601215	0.057681478258481286	2	PTPN2
30	0.11377445831979233	0.5567625913486276	1	PTPN2
31	0.3690881910164993	0.058144949378460896	2	KIT_ext
31	0.4192616562872985	0.023578155149374322	1	KIT_ext
32	0.3643875188405794	0.061671441572027794	2	ODF1
32	0.39673489062666584	0.03310287815011957	1	ODF1
33	0.3589414366242931	0.06596238745118788	2	PKDCC
33	0.3590215051512104	0.055790701114515374	1	PKDCC
34	0.3583072644747803	0.06647668239414951	2	MPP3
34	0.27835004636352007	0.14371349064992256	1	MPP3
35	0.35640474802624156	0.06803817104365807	2	MUSK
35	0.25031657467093743	0.19030852126448725	1	MUSK
36	0.3513850051134569	0.07229403071068652	2	GPATCH2
36	0.2890176506359188	0.128358114165261	1	GPATCH2
37	0.3513850051134569	0.07229403071068652	2	PHLDA2
37	0.004713592585478503	0.9806396388369423	1	PHLDA2
38	0.3507507361511582	0.07284600799873474	2	GTF2H2C
38	0.047384009675073384	0.8071662773072166	1	GTF2H2C
39	0.3500630265311127	0.07344814245316243	2	CHST4
39	0.18707824110850907	0.3311761275723646	1	CHST4
40	0.348794682232087	0.07456866857192548	2	CDK10
40	0.33094381626464864	0.0795007779306658	1	CDK10
41	0.3475263379330612	0.07570225067150117	2	PSMB10
41	-0.16323915374972925	0.3974978115795771	1	PSMB10
42	0.3462579936340354	0.07684897927332122	2	ARHGDIB
42	0.010171436631822035	0.9582365154756518	1	ARHGDIB
43	0.33991627213890657	0.08278297359176728	2	NTRK3_ext
43	0.0451512552924783	0.8160953594406835	1	NTRK3_ext
44	0.33991627213890657	0.08278297359176728	2	PRPS2
44	-0.18804753577856345	0.3286314251403958	1	PRPS2
45	0.3393338948297823	0.08334489057049475	2	NPY5R
45	0.22277927061893138	0.24539739856929949	1	NPY5R
46	0.3386479278398808	0.08401047026982714	2	PANK3
46	-0.0627652065329506	0.7463527005138479	1	PANK3
47	0.3380137556903679	0.08462937829620377	2	NEUROD4
47	0.23297940106218837	0.22388290823912232	1	NEUROD4
48	0.33621388430125126	0.08640478053294448	2	STYXL1
48	0.2746287890591949	0.14937032911021564	1	STYXL1
49	0.3348940120936918	0.08772454025213058	2	CTNNBL1
49	-0.016871777712703734	0.9307774557346464	1	CTNNBL1
50	0.3348428949428035	0.08777595812470693	2	EPAS1
50	0.2619765142244895	0.1697999906499879	1	EPAS1
51	0.33294037849426483	0.08970593445913727	2	PDGFRA_ext
51	0.44307770303497934	0.016075197023551493	1	PDGFRA_ext
52	0.3317095281557186	0.0909715176573436	2	HCLS1
