Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.5442085460247007	0.0002834643164923956	2	TBCB
1	0.20042802045613453	0.2276101715466212	1	TBCB
2	0.4302825355247201	0.00558275369780456	2	S100P
2	-0.3125006086626162	0.05611006560562535	1	S100P
3	0.42745792369414204	0.005938444596010851	2	SUFU
3	-0.24747855219351744	0.13413018266454999	1	SUFU
4	0.4127145064461702	0.008130539401113492	2	FTH1
4	0.15274152556737697	0.3599308772635067	1	FTH1
5	0.3982120043776008	0.010931566983988474	2	OIP5
5	-0.1343317802508299	0.42135723282151105	1	OIP5
6	0.39381643816998746	0.011928273456144537	2	NDUFAB1
6	0.2623765059909901	0.11152162574123946	1	NDUFAB1
7	0.3913970459904292	0.01250914081117306	2	ADSL
7	0.07018709741568055	0.6754161974486645	1	ADSL
8	0.38394784395032144	0.014450794647121434	2	RBKS
8	0.10098151358867608	0.5463472425296663	1	RBKS
9	0.3794395225743155	0.015745414947806857	2	IMPDH1
9	0.21533951431939177	0.19415220547198805	1	IMPDH1
10	0.3791874267947205	0.01582060772449753	2	STK16
10	-0.31302828821819884	0.0556741346337841	1	STK16
11	0.3745610976784723	0.01725525856107538	2	AK4
11	-0.25071320761651644	0.12895440124680424	1	AK4
12	0.3633091994450441	0.021207469592528706	2	CAMK2A
12	0.3646388681079053	0.024396778554397713	1	CAMK2A
13	0.3613620068586161	0.021962855068295414	2	TPI1
13	0.25372856436676977	0.12426471121663456	1	TPI1
14	0.35128755799622113	0.026238913715702788	2	COMMD3
14	0.1444002751316899	0.38706412858925654	1	COMMD3
15	0.3497054847028526	0.026969308568666528	2	FTHL17
15	0.04758520835774747	0.7766427969281795	1	FTHL17
16	0.34752140888878374	0.028005234593625538	2	PTPN20
16	0.09736861069908884	0.5608666890401792	1	PTPN20
17	0.3471773637387702	0.028171380017090804	2	STARD7
17	0.08656815106636333	0.6053045322446131	1	STARD7
18	0.34501162482746234	0.02923607064948815	2	EEF2K
18	-0.07653942487748935	0.6478647699880756	1	EEF2K
19	0.341873217736315	0.03083770672252865	2	PDGFRB
19	0.16107293929742605	0.33400446968409736	1	PDGFRB
20	0.3416528262761027	0.030952843902106515	2	NCOA5
20	0.014034347165418608	0.9333525645800352	1	NCOA5
21	0.34042877040133646	0.031598779742080474	2	YWHAE
21	0.0749494224982292	0.6547195319031169	1	YWHAE
22	0.34005213782448535	0.031799746638610724	2	FGF1
22	-0.005537291486828813	0.9736792841057662	1	FGF1
23	0.3389852209003451	0.03237475759014816	2	TK1
23	0.16063627778622203	0.3353339331361902	1	TK1
24	0.33650542274952944	0.03374431157954214	2	IL1B
24	0.016227213910015265	0.9229678489968787	1	IL1B
25	0.3356267050464843	0.03424087721829584	2	LMO2
25	0.038923384716590674	0.8165283459602789	1	LMO2
26	0.3356111136240812	0.03424974178532675	2	NR1D2
26	-0.05450168479399014	0.745189035266671	1	NR1D2
27	0.3342614119553988	0.03502428483658441	2	RGS5
27	-0.25503040239659125	0.12227985280512085	1	RGS5
28	0.3339632721020092	0.035197296685708354	2	PMVK
28	-0.11179361556246475	0.5039926873874349	1	PMVK
29	0.3303693465357947	0.03733849235713183	2	RHOT2
29	0.24753337686170387	0.1340411952570635	1	RHOT2
30	0.3229927384204821	0.04206701821698554	2	PDK4
30	0.13937193269239107	0.40398202885539436	1	PDK4
31	0.31999645310716135	0.04412155462257127	2	HAGHL
31	0.17619684292834145	0.2899762230412495	1	HAGHL
32	0.31933734609767184	0.044584232221882576	2	YWHAG
32	0.2855112501464848	0.08228305225497412	1	YWHAG
33	0.3186311600160759	0.04508430928994931	2	PRDX6
33	-0.08251112562056796	0.6223779397606535	1	PRDX6
34	0.31842790703383	0.0452290785050455	2	CARD8
34	0.12444518775586032	0.45663056792321843	1	CARD8
35	0.31758052348465665	0.04583669464382363	2	PIN1
35	-0.06608180648669834	0.6934487366125948	1	PIN1
36	0.3160740638416817	0.046933185376849595	2	LDHC
36	0.18531751868618485	0.2653242254549896	1	LDHC
37	0.3150383728371364	0.047699234862718876	2	ARL1
37	0.14308455508493192	0.39145038584644987	1	ARL1
38	0.31309051652601316	0.04916727860894681	2	XAGE4
38	0.01798347518611498	0.9146597343674565	1	XAGE4
39	0.3126991969306703	0.049466548838913514	2	PKLR
39	0.1287212779078238	0.4411830438145421	1	PKLR
40	0.31221376100655834	0.04983983272926756	2	DNAJA2
