Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.6310999297122716	1.2657484777616607e-05	2	CA4
1	0.09445569693427582	0.5620861108164397	1	CA4
2	0.5844178840109768	7.50796885729289e-05	2	MMP24
2	0.0428658759010945	0.7928346586192349	1	MMP24
3	0.5308848041641686	0.00042465761871257715	2	PSMB3
3	0.033765385280768424	0.8361362196366556	1	PSMB3
4	0.5252927391865146	0.0005006990725681982	2	IFITM1
4	0.07286045807256267	0.6550249672373426	1	IFITM1
5	0.5119996601966949	0.0007324325297593078	2	MALL
5	0.20705204022324947	0.19986652343519934	1	MALL
6	0.5116772099494226	0.0007390803624765568	2	ILF2
6	0.17543448866544656	0.2789033446054863	1	ILF2
7	0.5072112206471366	0.0008368451890966482	2	FOXI1
7	0.08042633671256834	0.6217782696343241	1	FOXI1
8	0.5065286511786372	0.000852759825321998	2	FGFR4_ext
8	0.12957143317027897	0.4255302731301899	1	FGFR4_ext
9	0.505401466419408	0.0008796310900000964	2	PMEL
9	-0.0028169024142878896	0.9862365878703899	1	PMEL
10	0.5024426064264312	0.0009537851396940773	2	PSMB8
10	-0.1381156363720872	0.3953780877557206	1	PSMB8
11	0.4989437158255078	0.001048601939203754	2	FZD1
11	0.14343400972381568	0.37725331672746865	1	FZD1
12	0.48722561217683663	0.0014299849428081408	2	GP2
12	0.19923955158502316	0.21774505627072993	1	GP2
13	0.4859816991116674	0.0014769139167828138	2	ARL1
13	-0.0012206004574011786	0.9940359038693334	1	ARL1
14	0.4809096056149472	0.0016826663770427004	2	HSPB9
14	0.29848375800602667	0.06137075999247434	1	HSPB9
15	0.4809096056149472	0.0016826663770427004	2	MAP3K20
15	-0.07389674000148565	0.6504303748241069	1	MAP3K20
16	0.4685111548451869	0.0022955676731842545	2	TAF5L
16	0.14746484138797103	0.36384997196025415	1	TAF5L
17	0.46259014558726597	0.0026519767688104115	2	ARIH2
17	0.032773039579513934	0.8408893537288302	1	ARIH2
18	0.45928690120325494	0.0028711834225623933	2	TRIB2
18	0.00023481898591994665	0.9988526179449588	1	TRIB2
19	0.4552887106653416	0.003157609171131786	2	NR2E3
19	0.26947102405702944	0.0926644616515659	1	NR2E3
20	0.44603128387412666	0.0039185054735072986	2	HSPE1
20	0.16079817948226702	0.32158894888179446	1	HSPE1
21	0.4449353128511729	0.004018385826943859	2	IGF2
21	0.29441325066665597	0.06516890351220347	1	IGF2
22	0.4439960362777062	0.004105743286585582	2	BCL2L14
22	0.18618851592511826	0.25001535635744254	1	BCL2L14
23	0.4439592750323661	0.004109195631086359	2	ACPP
23	0.2317337089778845	0.15020503191397397	1	ACPP
24	0.44258712141750617	0.004239879222444606	2	LY86
24	0.08497257030369743	0.6021460859277639	1	LY86
25	0.43995145636266836	0.004501073678446905	2	RPLP1
25	-0.05887602232198523	0.7181964141378963	1	RPLP1
26	0.4384954410805884	0.004651276609143004	2	GPA33
26	0.25661980994162675	0.10994550878523981	1	GPA33
27	0.43713336226832006	0.0047957119935545245	2	CT55
27	0.16268374588969603	0.3158716293978822	1	CT55
28	0.4359182577458926	0.004927832810868621	2	SPATA25
28	0.23407361079239525	0.14601517539713144	1	SPATA25
29	0.43549136135923466	0.00497499408834621	2	AMD1
29	0.08147716322101967	0.6172167596265261	1	AMD1
30	0.4349054529359463	0.0050403595095344636	2	MPP1
30	0.07755507521641335	0.6343129823232477	1	MPP1
31	0.4348850535150793	0.005042648677211171	2	SERPINF2
31	0.008779345857863923	0.9571218208012646	1	SERPINF2
32	0.4339864905296312	0.005144381877458141	2	FSCN1
32	0.15826296730940792	0.3293776143799193	1	FSCN1
33	0.43385184928426584	0.005159777928741895	2	MYCL
33	0.1380282183001066	0.395680159058443	1	MYCL
34	0.4331943556828392	0.005235536728833187	2	MAPK10
34	-0.2914085547580822	0.06809008744270097	1	MAPK10
35	0.43234900676671917	0.005334356306632763	2	CEACAM7
